entry_time,exit_time,entry_price,exit_price,pnl,used_capital,profit,capital,reason
2024-02-21 09:24:39.000,2024-01-22 09:21:57.000,21.8,20.65,-0.052752293577981745,800000.0,-42201.834862385396,957798.1651376146,持仓期间回撤超过5%止损
2024-04-29 09:23:45.000,2024-02-02 14:37:51.000,22.53,25.66,0.13892587660896577,766238.5321100918,106450.35976496167,1064248.5249025763,持仓期间回撤超过5%止损
2023-06-16 14:57:45.000,2024-02-20 14:17:48.000,29.38,21.54,-0.2668481960517359,851398.8199220612,-227194.23921677875,837054.2856857976,次日开盘低于涨停价3%止损
2023-07-25 14:59:15.000,2024-02-06 11:02:39.000,28.06,21.33,-0.23984319315751962,669643.4285486381,-160609.4181800547,676444.8675057429,次日开盘低于涨停价3%止损
2024-01-26 09:24:39.000,2024-04-15 09:43:24.000,21.86,21.09,-0.03522415370539797,541155.8940045944,-19061.758388999886,657383.1091167431,次日开盘低于涨停价3%止损
2024-04-23 09:20:00.000,2023-08-28 14:46:54.000,19.99,28.3,0.41570785392696363,525906.4872933945,218623.457199005,876006.566315748,主动止盈
2023-06-13 09:15:27.000,2023-12-01 13:15:12.000,27.8,27.55,-0.008992805755395683,700805.2530525984,-6302.205513062935,869704.3608026851,持仓期间回撤超过5%止损
2024-02-26 09:23:27.000,2023-08-14 13:06:54.000,25.6,27.43,0.07148437499999993,695763.4886421482,49736.21813340352,919440.5789360887,主动止盈
2023-08-30 09:24:48.000,2023-10-20 13:13:27.000,29.76,26.48,-0.11021505376344089,735552.463148871,-81068.95427178418,838371.6246643045,次日开盘低于涨停价3%止损
2023-08-09 09:16:21.000,2023-08-01 09:39:06.000,31.17,25.93,-0.1681103625280719,670697.2997314436,-112751.16620445189,725620.4584598526,持仓期间回撤超过5%止损
2023-08-09 09:16:30.000,2023-12-12 13:11:33.000,31.1,29.1,-0.06430868167202572,580496.3667678821,-37330.95606224322,688289.5023976094,次日开盘低于涨停价3%止损
2023-11-03 09:24:48.000,2023-11-06 11:07:39.000,26.2,24.42,-0.06793893129770984,550631.6019180876,-37409.32257306086,650880.1798245485,持仓期间回撤超过5%止损
2023-06-19 14:59:06.000,2023-07-25 09:51:24.000,30.31,27.45,-0.09435829759155392,520704.14385963883,-49132.75656346311,601747.4232610854,次日开盘低于涨停价3%止损
2023-06-13 09:19:48.000,2024-03-13 10:08:48.000,27.16,25.56,-0.05891016200294556,481397.93860886834,-28359.230551332475,573388.1927097529,次日开盘低于涨停价3%止损
2023-09-25 09:21:39.000,2024-03-14 14:23:54.000,27.79,25.09,-0.09715725080964373,458710.5541678024,-44567.05636031184,528821.1363494411,次日开盘低于涨停价3%止损
2023-07-19 14:58:57.000,2024-03-11 13:34:06.000,28.1,25.11,-0.106405693950178,423056.9090795529,-45015.66399102719,483805.472358414,次日开盘低于涨停价3%止损
2024-01-25 14:58:03.000,2023-07-18 09:49:18.000,22.35,27.46,0.22863534675615207,387044.3778867312,88492.02554815194,572297.4979065659,主动止盈
2023-09-25 09:22:33.000,2024-02-20 10:35:12.000,27.81,20.72,-0.2549442646530025,457837.99832525273,-116723.17181323415,455574.32609333174,次日开盘低于涨停价3%止损
2024-03-08 14:59:24.000,2023-07-31 10:43:39.000,24.71,28.06,0.13557264265479554,364459.4608746654,49410.73225132045,504985.0583446522,主动止盈
2024-04-25 09:24:57.000,2023-06-29 11:01:18.000,21.84,30.65,0.40338827838827834,403988.04667572177,162964.04263796285,667949.100982615,主动止盈
2024-02-27 09:24:48.000,2024-01-19 10:24:15.000,25.0,22.21,-0.11159999999999996,534359.280786092,-59634.495735727854,608314.6052468872,持仓期间回撤超过5%止损
2023-06-20 14:59:06.000,2024-04-10 14:41:09.000,31.55,21.49,-0.3188589540412045,486651.6841975098,-155173.24700560854,453141.3582412787,次日开盘低于涨停价3%止损
2023-07-13 14:59:33.000,2023-09-28 10:12:57.000,27.84,29.48,0.05890804597701151,362513.086593023,21354.937572290153,474496.2958135688,主动止盈
2023-06-13 09:20:09.000,2023-11-13 14:52:24.000,27.15,23.17,-0.14659300184162052,379597.0366508551,-55646.269092832496,418850.0267207363,持仓期间回撤超过5%止损
2023-06-16 14:57:36.000,2023-10-24 09:33:36.000,29.4,26.0,-0.11564625850340132,335080.0213765891,-38750.75077144226,380099.27594929404,次日开盘低于涨停价3%止损
2024-02-22 09:23:27.000,2024-04-17 11:06:12.000,23.02,21.26,-0.07645525629887047,304079.4207594352,-23248.470049374693,356850.80589991936,次日开盘低于涨停价3%止损
2024-02-26 09:24:57.000,2023-08-02 09:36:24.000,25.8,27.92,0.08217054263565896,285480.6447199355,23458.099488614866,380308.90538853424,主动止盈
2024-04-23 14:59:51.000,2023-09-04 10:10:00.000,21.06,28.71,0.36324786324786335,304247.1243108274,110517.11780521511,490826.02319374937,主动止盈
2023-09-01 14:57:27.000,2023-06-14 10:14:21.000,29.87,27.32,-0.08536993639102781,392660.81855499954,-33521.42910328922,457304.59409046016,持仓期间回撤超过5%止损
2023-08-09 09:16:39.000,2024-04-26 13:05:00.000,31.04,22.26,-0.282860824742268,365843.6752723681,-103482.84371428452,353821.7503761756,次日开盘低于涨停价3%止损
2023-06-20 14:59:15.000,2023-07-11 11:16:00.000,31.5,27.7,-0.12063492063492066,283057.4003009405,-34146.60702043093,319675.1433557447,次日开盘低于涨停价3%止损
2024-02-21 09:23:45.000,2023-12-08 10:12:51.000,21.98,28.31,0.2879890809827115,255740.11468459578,73650.36059842998,393325.5039541747,主动止盈
